,,,,,,,,
,,,,,,,,
2013 Field Season,,,,,,,,
,,,,,,,,
,,,,,,,,
Species,Date Collected,Plot,Sex,Weight,Calibrated,Year,MONTH,DAY
DM,16-07-2013,2,F,,Y,2013,"7,00",16
DM,16-07-2013,7,M,33,Y,2013,"7,00",16
DM,16-07-2013,3,M,,Y,2013,"7,00",16
DM,16-07-2013,1,M,,Y,2013,"7,00",16
DM,18-07-2013,3,M,40,Y,2013,"7,00",18
DM,18-07-2013,7,M,48,Y,2013,"7,00",18
DM,18-07-2013,4,F,29,Y,2013,"7,00",18
DM,18-07-2013,4,F,46,Y,2013,"7,00",18
DM,18-07-2013,7,M,36,Y,2013,"7,00",18
DM,18-07-2013,7,F,35,Y,2013,"7,00",18
DM,18-07-2013,8,F,22,Y,2013,"7,00",18
DM,18-07-2013,7,F,42,Y,2013,"7,00",18
DM,18-07-2013,4,F,41,Y,2013,"7,00",18
DM,18-07-2013,6,F,37,Y,2013,"7,00",18
DO,19-08-2013,8,F,52,Y,2013,"8,00",19
DO,17-10-2013,3,F,33,Y,2013,"10,00",17
DO,17-10-2013,3,F,50,Y,2013,"10,00",17
DO,17-10-2013,17,F,48,Y,2013,"10,00",17
DO,17-10-2013,17,F,31,Y,2013,"10,00",17
DO,18-10-2013,8,F,41,Y,2013,"10,00",18
DO,12-11-2013,1,F,44,Y,2013,"11,00",12
DO,12-11-2013,1,M,48,Y,2013,"11,00",12
DO,14-11-2013,8,F,39,Y,2013,"11,00",14
DO,10-12-2013,9,F,40,Y,2013,"12,00",10
DO,10-12-2013,1,M,45,Y,2013,"12,00",10
DO,11-12-2013,8,F,41,Y,2013,"12,00",11
DS,12-11-2013,9,F,117,Y,2013,"11,00",12
DS,12-11-2013,1,F,121,Y,2013,"11,00",12
DS,12-11-2013,20,M,115,Y,2013,"11,00",12
DS,12-11-2013,9,F,120,Y,2013,"11,00",12
DS,13-11-2013,17,F,118,Y,2013,"11,00",13
DS,13-11-2013,11,F,126,Y,2013,"11,00",13
DS,13-11-2013,17,M,132,N,2013,"11,00",13
DS,13-11-2013,14,F,113,N,2013,"11,00",13
DS,13-11-2013,11,F,122,Y,2013,"11,00",13
DS,13-11-2013,4,F,107,Y,2013,"11,00",13
DS,13-11-2013,4,F,115,Y,2013,"11,00",13
DM,09-01-2014,1,M,40,Y,2014,"1,00",9
DM,09-01-2014,1,F,36,Y,2014,"1,00",9
DS,09-01-2014,1,F,135,Y,2014,"1,00",9
DM,20-01-2014,1,F,39,Y,2014,"1,00",20
DM,20-01-2014,1,M,43,Y,2014,"1,00",20
DS,20-01-2014,1,F,144,Y,2014,"1,00",20
DM,13-03-2014,1,F,51,Y,2014,"3,00",13
DM,13-03-2014,1,F,44,Y,2014,"3,00",13
DS,13-03-2014,1,F,146,Y,2014,"3,00",13
DM,08-01-1978,4,F,37,Y,2014,"1,00",8
DS,08-01-1978,4,F,128,Y,2014,"1,00",8
DM,08-01-1978,4,F,42,Y,2014,"1,00",8
DM,08-01-1978,4,M,37,Y,2014,"1,00",8
DM,08-01-1978,4,M,,Y,2014,"1,00",8
DM,08-01-1978,4,F,48,Y,2014,"1,00",8
DM,08-01-1978,4,M,45,Y,2014,"1,00",8
DM,08-01-1978,4,F,42,Y,2014,"1,00",8
DO,08-01-1978,4,M,52,Y,2014,"1,00",8
OL,08-01-1978,4,M,35,Y,2014,"1,00",8
NA,08-01-2014,2,,,Y,2014,"1,00",8
DM,08-01-2014,2,M,44,Y,2014,"1,00",8
DM,08-01-2014,2,M,38,Y,2014,"1,00",8
OL,08-01-2014,2,,,Y,2014,"1,00",8
PE,08-01-2014,2,M,22,Y,2014,"1,00",8
DM,08-01-2014,2,M,38,Y,2014,"1,00",8
DM,08-01-2014,2,M,48,Y,2014,"1,00",8
DM,08-01-2014,2,M,43,Y,2014,"1,00",8
DM,08-01-2014,2,F,35,Y,2014,"1,00",8
DM,08-01-2014,2,M,43,Y,2014,"1,00",8
DM,08-01-2014,2,F,37,Y,2014,"1,00",8
PF,08-01-2014,2,F,7,Y,2014,"1,00",8
DM,08-01-2014,2,M,45,Y,2014,"1,00",8
OT,08-01-2014,2,,,Y,2014,"1,00",8
DS,08-01-2014,2,M,157,N,2014,"1,00",8
OX,08-01-2014,2,,,Y,2014,"1,00",8
NA,18-02-2014,2,M,218,N,2014,"2,00",18
PF,18-02-2014,2,F,7,Y,2014,"2,00",18
DM,18-02-2014,2,M,52,Y,2014,"2,00",18
PF,8-1,3,M,7,Y,2014,"1,00",8
OT,18-2,3,M,24,Y,2014,"2,00",18
OT,18-2,3,F,23,Y,2014,"2,00",18
NA,11-3,3,M,232,Y,2014,"3,00",11
OT,11-3,3,F,22,Y,2014,"3,00",11
OT,11-3,3,M,26,Y,2014,"3,00",11
PF,11-3,3,M,8,Y,2014,"3,00",11
NA,8-4,3,F,,Y,2014,"4,00",8
,6-5,3,,,Y,2014,"5,00",6
NA,18-5,3,F,182,Y,2014,"5,00",18
OT,9-6,3,F,29,Y,2014,"6,00",9
NA,8-7,3,F,115,Y,2014,"7,00",8
NA,8-7,3,M,190,Y,2014,"7,00",8
